Name of President,Number President,State of Origin,Party Affiliation,Vice President,First Lady,Number of years served,Number of terms served,One great act,Date of Birth,Date of death
George Washingon,1,VA,Independent,John Adams,Martha Dandridge Custis Washington,8,2,Commanded the Continental Army during the American   Revolution (1775–83) and presided over the convention that drafted the U.S.   Constitution.,02-22-1732,12-14-1799
John Adams,2,MA,Whig Party,Thomas Jefferson,Abigail Adams,4,1,Established many of the basic ideas and principles that made up the U.S. Constitution,10-30-1735,07-04-1826
Thomas Jefferson,3,VA,Democratic-Republican Party,Aaron Burr,Martha Jefferson Randolph,8,2,Wrote the Declaration of Independence,04-13-1743,07-04-1826
James Madison,4,VA,Democratic-Republican Party,George Clinton,Dolley Madison,8,2,Created the basic framework for the U.S. Constitution and helped write the Bill of Rights.,03-16-1751,06-28-1836
James Monroe,5,NY,Democratic-Republican Party,Daniel D. Tompkins,Elizabeth Monroe,8,2,"Helped with the   annexation of Florida, several important bilateral treaties, and finally, the Monroe Doctrine",04-28-1758,07-04-1831
John Quincy Adams,6,MA,Whig Party,John C Calhoun,Louisa Catherine Adams,4,1,"Proposed a progressive national program, including federal funding of an interstate system of roads and canals and the creation of a national university.",06-11-1767,02-23-1848
Andrew Jackson,7,SC,Democratic Party,John C. Calhoun,Rachel Jackson,8,2,"Known as the ""people's president,"" Jackson destroyed the Second Bank of the United States, founded the Democratic Party, supported individual liberty and instituted policies that resulted in the forced migration of Native Americans.",03-15-1767,06-08-1845
Martin Van Buren,8,NY,Democratic Party,Richard M. Johnson,Angelica Singleton Van Buren,4,2,Proposed the establishment of an independent treasury to handle the federal funds that had been moved to state banks and cut off all federal government expenditures in order to ensure the government would remain solvent.,12-05-1782,07-24-1862
William Henry Harrison,9,VA,Whig Party,John Tyler,Anna Tuthill Harrison,6 Months,Less than 1,"Included unprecedented economic legislation, including the McKinley Tariff, which imposed historic protective trade rates, and the Sherman Antitrust Act.",02-09-1773,04-04-1841
John Tyler,10,VA,Whig Party,None,Letitia Tyler,4,1,Was the first vice president to assume the office of President after the death of his predecessor. His most notable accomplishment was the annexation of Texas.,03-29-1790,01-18-1862
James K. Polk,11,NC,Democratic Party,George M. Dallas,Sarah Polk,4,1,"Reduced tariffs, reformed the national banking system, and settled a boundary dispute with the British that secured the Oregon Territory for the United States.",11-02-1795,06-15-1849
Zachary Taylor,12,VA,Whig Party,Millard Fillmore,"Margaret ""Peggy"" Mackall Taylor",1,Less than 1,"Became a full-fledged war hero through his service in the Mexican War, which broke out in 1846 after the U.S. annexation of Texas",11-24-1784,07-09-1850
Millard Fillmore,13,NY,Know-Nothing,None,Abigail Fillmore,3,Less than 1, Supporting and signing into law the 1850 Compromise,01-07-1800,03-08-1874
Franklin Pierce,14,NH,Democratic Party,William R. King,Jane Pierce,4,1,"His most notable accomplishment was the Gadsen Purchase, expanding the fronteir to the South and West.",11-23-1804,10-08-1869
James Buchanan,15,PA,Democratic Party,John C. Breckinridge,None,4,1,"He supported the Supreme Court's Dred Scott decision, which determined that slaves were not citizens of the United States regardless of what state (free or slave) they were living in.",04-23-1791,06-01-1868
Abraham Lincoln,16,IN,Republican Party,Hannibal Hamlin,Mary Todd Lincoln,4,1,"the most lasting accomplishments attributed to this president are the preservation of the Union, the vindication of democracy, and the death of slavery",02-12-1809,04-15-1865
Andrew Johnson,17,NC,Democratic Party,None,Eliza McCardle,4,1,"One major thing he did was that he got rid the fourteenth amendment. By doing this, it gave citizenship to African American males.",12-29-1808,07-31-1875
Ulysses S. Grant,18,OH,Republican Party,Schuyler Colfax and Henry Wilson,Julia Dent,8,2,led the Union Armies to victory over the Confederacy in the American Civil War,04-27-1822,07-23-1885
Rutherford B. Hayes,19,OH,Republican Party,William A. Wheeler,Lucy Ware Webb,4,1,"Oversaw the end of Reconstruction, began the efforts that led to civil service reform, and attempted to reconcile the divisions left over from the Civil War.",10-04-1822,01-17-1893
